gene_id,H_value,p_value.x,stat_test_adj_p,cluster1_mean,cluster1_sd,cluster1_sem,cluster1_penetrance,cluster2_mean,cluster2_sd,cluster2_sem,cluster2_penetrance,cluster1_cluster2_differential,cluster2_cluster1_differential,cluster1_cluster2_sd,cluster2_cluster1_sd,limma_test,r_rb,p_value.y,padj,trajectory
WASH7P,3,0.000117832827264343,0.0061639813947322,-1.15388775524198,0.739008211422869,0.24633607047429,0,0.294162584932148,0.536347338026783,0.169607920513287,0.8,-1.44805034017412,1.44805034017412,0.913127375320028,0.913127375320028,limma_2grp(mod_t),0.766843076192769,0.000117832827264343,0.0061639813947322,Fun-CIM
LOC107984847,9,0.00242765346384238,0.0338088851851677,-1.83776265408303,1.35696256403631,0.45232085467877,0,0.383055632707263,1.37843763780721,0.435900254797301,0.7,-2.22081828679029,2.22081828679029,1.93427963891458,1.93427963891458,limma_2grp(mod_t),0.650597066992764,0.00242765346384238,0.0338088851851677,Fun-CIM
LOC100288069,15,0.00399372030762387,0.0469992402748817,-0.846646681563347,1.12582396497915,0.37527465499305,0.222222222222222,0.701955222266055,0.915606411528173,0.289540170068248,0.9,-1.5486019038294,1.5486019038294,1.45114255018343,1.45114255018343,limma_2grp(mod_t),0.62539093090069,0.00399372030762387,0.0469992402748817,Fun-CIM
LINC00115,5,9.17625205555995e-05,0.0054531949263052,-0.742562587133952,0.576169740415711,0.19205658013857,0.111111111111111,0.391959013692492,0.396864264108342,0.125499499650897,0.9,-1.13452160082644,1.13452160082644,0.69962333715862,0.69962333715862,limma_2grp(mod_t),0.77426781822096,9.17625205555995e-05,0.0054531949263052,Fun-CIM
NOC2L,0,0.000152896485353572,0.00691539529780631,-1.60378607095561,0.809437333590731,0.269812444530244,0,0.875236576152927,1.34183153819844,0.42432438969543,0.8,-2.47902264710853,2.47902264710853,1.56706753967864,1.56706753967864,limma_2grp(mod_t),0.758814946249249,0.000152896485353572,0.00691539529780631,Fun-CIM
C1ORF159,3,0.000703208126968839,0.016411621195057,-1.18038843633766,0.573808466748875,0.191269488916292,0,0.449382024703902,1.05950935813284,0.335046277396283,0.7,-1.62977046104156,1.62977046104156,1.20491337302055,1.20491337302055,limma_2grp(mod_t),0.704934567706357,0.000703208126968839,0.016411621195057,Fun-CIM
SDF4,8,0.000549633447578284,0.0142150458325431,-0.919842729485163,0.779833519407661,0.25994450646922,0.222222222222222,0.493903789524398,0.684100926581994,0.216331707743073,0.7,-1.41374651900956,1.41374651900956,1.03736897762661,1.03736897762661,limma_2grp(mod_t),0.714510260804611,0.000549633447578284,0.0142150458325431,Fun-CIM
B3GALT6,12,0.0011856045053028,0.0219361784150751,-1.04180220388243,0.534538418590092,0.178179472863364,0,0.30236483662867,0.91184327553363,0.288350161979476,0.6,-1.3441670405111,1.3441670405111,1.05697184450897,1.05697184450897,limma_2grp(mod_t),0.683355846749977,0.0011856045053028,0.0219361784150751,Fun-CIM
UBE2J2,2,1.22263483376498e-05,0.00272723982606701,-0.859575560077986,0.575653253114993,0.191884417704998,0.111111111111111,0.811767225453931,0.627146981694518,0.19832128898546,0.9,-1.67134278553192,1.67134278553192,0.851287263190528,0.851287263190528,limma_2grp(mod_t),0.825383102772981,1.22263483376498e-05,0.00272723982606701,Fun-CIM
ACAP3,8,0.00130246356964239,0.023182497816063,-0.717862402761483,0.63028979310378,0.21009659770126,0.111111111111111,0.544149650763298,0.790768235447563,0.25006287253266,0.8,-1.26201205352478,1.26201205352478,1.01122679230905,1.01122679230905,limma_2grp(mod_t),0.679276263928821,0.00130246356964239,0.023182497816063,Fun-CIM
