gene_id,H_value,p_value.x,stat_test_adj_p,cluster1_mean,cluster1_sd,cluster1_sem,cluster1_penetrance,cluster2_mean,cluster2_sd,cluster2_sem,cluster2_penetrance,cluster1_cluster2_differential,cluster2_cluster1_differential,cluster1_cluster2_sd,cluster2_cluster1_sd,limma_test,r_rb,p_value.y,padj,trajectory
TSPAN6,176,0.0762955943718361,0.202930549978698,0.416972671969409,0.908914970860364,0.274048174970967,0.636363636363636,-0.00579922370504633,0.505986626885903,0.101197325377181,0.52,0.422771895674456,-0.422771895674456,1.04026385635639,1.04026385635639,limma_2grp(mod_t),-0.292600608700489,0.0762955943718361,0.202930549978698,NS
TNMD,71,0.00396262661172838,0.0251449695854006,-0.478063430092897,0.729701830943926,0.220013380188759,0.0909090909090909,0.0530245138555574,0.323681083068749,0.0647362166137498,0.52,-0.531087943948454,0.531087943948454,0.798269506883155,0.798269506883155,limma_2grp(mod_t),0.458851112401398,0.00396262661172838,0.0251449695854006,NS
DPM1,241,8.77564005514984e-05,0.00216383963877331,0.522012614052125,0.383329257542756,0.115578119857712,1,-0.0459621979311502,0.343682424566964,0.0687364849133929,0.4,0.567974811983275,-0.567974811983275,0.514838740427047,0.514838740427047,limma_2grp(mod_t),-0.595556275404203,8.77564005514984e-05,0.00216383963877331,NS
SCYL3,88,0.114657990782778,0.267488952127372,-0.00329912856789736,0.6025383423264,0.18167214575449,0.454545454545455,0.335956316932826,0.581084674545251,0.11621693490905,0.8,-0.339255445500723,0.339255445500723,0.837085331949382,0.837085331949382,limma_2grp(mod_t),0.261613261024121,0.114657990782778,0.267488952127372,NS
FIRRM,147,0.551093617653923,0.734467467247474,0.159296397918632,1.06063113477917,0.319792319548307,0.545454545454545,-0.0279766179949718,0.790598215346558,0.158119643069312,0.52,0.187273015913604,-0.187273015913604,1.32286958622992,1.32286958622992,limma_2grp(mod_t),-0.100361721102375,0.551093617653923,0.734467467247474,NS
FGR,17,1.50440169215439e-05,0.000761414406679864,-0.953150009866794,0.794060801736497,0.239418340008068,0.0909090909090909,0.726796905292732,1.00149140554195,0.200298281108391,0.88,-1.67994691515953,1.67994691515953,1.27809138649347,1.27809138649347,limma_2grp(mod_t),0.642913545259597,1.50440169215439e-05,0.000761414406679864,Fun-CIM
CFH,41,5.88363100621235e-05,0.0016752906805845,-0.77553215058722,1.27964808451417,0.385828414548227,0.181818181818182,0.902697434767781,0.916045699247961,0.183209139849592,0.84,-1.678229585355,1.678229585355,1.57373407642825,1.57373407642825,limma_2grp(mod_t),0.606983433078258,5.88363100621235e-05,0.0016752906805845,Fun-CIM
FUCA2,127,0.707678867996399,0.842666411399326,0.232917951050566,0.514239419933134,0.155049018938928,0.636363636363636,0.289820300744399,0.368507588028578,0.0737015176057157,0.76,-0.0569023496938332,0.0569023496938332,0.632645258772882,0.632645258772882,limma_2grp(mod_t),0.0632266950043445,0.707678867996399,0.842666411399326,NS
GCLC,131,0.898658973793715,0.957920572500158,0.357068717801532,0.545533023929476,0.16448439555655,0.636363636363636,0.379292093169556,0.449016324998264,0.0898032649996527,0.76,-0.0222233753680239,0.0222233753680239,0.706556395705668,0.706556395705668,limma_2grp(mod_t),0.0214932131648539,0.898658973793715,0.957920572500158,NS
NFYA,152,0.457530863143433,0.661865738313612,0.0141260974324648,0.532617730072339,0.160590287940067,0.363636363636364,-0.114733704549795,0.455767633060912,0.0911535266121824,0.44,0.12885980198226,-0.12885980198226,0.70100341064317,0.70100341064317,limma_2grp(mod_t),-0.124901037920983,0.457530863143433,0.661865738313612,NS
STPG1,194,0.0508681497602949,0.153343769781818,0.397604354841768,0.284371513633078,0.0857412374351233,0.818181818181818,0.0958523086975284,0.458506444675756,0.0917012889351512,0.56,0.301752046144239,-0.301752046144239,0.539532499090806,0.539532499090806,limma_2grp(mod_t),-0.320798507176053,0.0508681497602949,0.153343769781818,NS
NIPAL3,110,0.276206346752609,0.484971489077782,-0.0301378955196541,0.572326369771509,0.172562893287118,0.454545454545455,0.179791647311411,0.514496860072612,0.102899372014522,0.72,-0.209929542831065,0.209929542831065,0.769587222191488,0.769587222191488,limma_2grp(mod_t),0.182242017123444,0.276206346752609,0.484971489077782,NS
LAS1L,221,0.00579343732557558,0.0331779297145282,0.4821038056057,0.558410781222768,0.168367185473196,0.909090909090909,-0.024710100866176,0.447395445995942,0.0894790891991884,0.48,0.506813906471876,-0.506813906471876,0.715531470784989,0.715531470784989,limma_2grp(mod_t),-0.44152061555353,0.00579343732557558,0.0331779297145282,NS
ENPP4,107,0.183953700458073,0.369830322806328,0.116527727354396,0.848431229244891,0.255811640711392,0.545454545454545,0.410990967965199,0.471942195206175,0.0943884390412351,0.84,-0.294463240610803,0.294463240610803,0.970857861055891,0.970857861055891,limma_2grp(mod_t),0.221464275832042,0.183953700458073,0.369830322806328,NS
SEMA3F,173,0.0963255334445366,0.237485489517844,0.267663096177075,1.00305418268871,0.302432215306823,0.545454545454545,-0.212378015777993,0.684665318580435,0.136933063716087,0.32,0.480041111955068,-0.480041111955068,1.21444814293414,1.21444814293414,limma_2grp(mod_t),-0.275227615467496,0.0963255334445366,0.237485489517844,NS
CFTR,63,0.0170591334859728,0.0708625619535128,0.0308960298556919,0.298579020010336,0.0900249617860274,0.545454545454545,0.321541277843971,0.325514628353429,0.0651029256706858,0.92,-0.290645247988279,0.290645247988279,0.441711675714378,0.441711675714378,limma_2grp(mod_t),0.386754291222329,0.0170591334859728,0.0708625619535128,NS
ANKIB1,95,0.251773301823765,0.457189963530799,0.0413754630136387,0.597211363042729,0.180066001068132,0.454545454545455,0.263116826121298,0.503016838114142,0.100603367622828,0.72,-0.22174136310766,0.22174136310766,0.780824789292517,0.780824789292517,limma_2grp(mod_t),0.191636807717669,0.251773301823765,0.457189963530799,NS
CYP51A1,205,0.0149666998793035,0.0645823068437229,0.361358144544761,0.732330501777978,0.220805954266386,0.727272727272727,-0.314969910441016,0.747824474857322,0.149564894971464,0.36,0.676328054985776,-0.676328054985776,1.04668496169096,1.04668496169096,limma_2grp(mod_t),-0.39392523197954,0.0149666998793035,0.0645823068437229,NS
KRIT1,100,0.12647485276246,0.28543865852812,-0.0183123471831469,0.539047983146395,0.162529082190401,0.454545454545455,0.267428049043218,0.498179674405176,0.0996359348810352,0.6,-0.285740396226365,0.285740396226365,0.733999806624391,0.733999806624391,limma_2grp(mod_t),0.253688342757547,0.12647485276246,0.28543865852812,NS
RAD52,91,0.100579802904556,0.245117648917034,-0.139770190226404,0.426276852831643,0.128527307059646,0.363636363636364,0.183259791708424,0.578195911663663,0.115639182332733,0.64,-0.323029981934827,0.323029981934827,0.718347038362813,0.718347038362813,limma_2grp(mod_t),0.271903138173724,0.100579802904556,0.245117648917034,NS
MYH16,159,0.807855206998438,0.90599715427727,0.0360127290172527,0.176169908423686,0.053117225962967,0.727272727272727,0.0572639299014312,0.260870267638223,0.0521740535276446,0.56,-0.0212512008841785,0.0212512008841785,0.314784264491807,0.314784264491807,limma_2grp(mod_t),0.0410301364432153,0.807855206998438,0.90599715427727,NS
BAD,245,6.43496347316995e-05,0.00178191213662806,0.541827128746509,0.413412317365204,0.124648503673792,0.909090909090909,-0.110530934633569,0.397241749972132,0.0794483499944264,0.32,0.652358063380078,-0.652358063380078,0.573333020216166,0.573333020216166,limma_2grp(mod_t),-0.604461046218693,6.43496347316995e-05,0.00178191213662806,Dys-CIM
LAP3,70,0.0277040995734608,0.0998990848092957,-0.110210705088616,0.608028874519126,0.183327603498366,0.545454545454545,0.27776058232799,0.401848853478673,0.0803697706957347,0.88,-0.387971287416606,0.387971287416606,0.728822072450554,0.728822072450554,limma_2grp(mod_t),0.359080421864968,0.0277040995734608,0.0998990848092957,NS
CD99,91,0.0620088364416795,0.175101300555282,-0.135789298516334,0.749524510494447,0.225990142953171,0.545454545454545,0.39132338293246,0.777311922277992,0.155462384455598,0.72,-0.527112681448794,0.527112681448794,1.07981517693884,1.07981517693884,limma_2grp(mod_t),0.307320487406115,0.0620088364416795,0.175101300555282,NS
HS3ST1,91,0.166609667565972,0.345466443891572,0.0341943072840533,0.544429660439161,0.164151718947027,0.545454545454545,0.295727687916072,0.505844826109436,0.101168965221887,0.84,-0.261533380632019,0.261533380632019,0.743157213022646,0.743157213022646,limma_2grp(mod_t),0.230307427053359,0.166609667565972,0.345466443891572,NS
