gene,endpoint,firth_hr,firth_conf_low,firth_conf_high,firth_p_value,firth_status,firth_fdr,signature_direction,signature_r_rb,signature_correlation_p_value,signature_correlation_padj
A2M,RFS,0.47669944543939746,0.1696348306991599,1.218971808799073,0.12184187663584845,converged,0.3165751215748974,Fun-CIM,0.444,2.4637512967587e-4,0.00143230879775008
ABCA5,RFS,0.23381351820560242,0.054541535672039856,0.7192280416400467,0.009749254374582295,converged,0.0656289375477512,Fun-CIM,0.445,5.2424964464648e-4,0.00256874248070237
ABCC3,RFS,1.1364548705157516,0.4739236146016908,2.513610858318128,0.7679681757974806,converged,0.8871769643963096,Fun-CIM,0.486,1.0985994669463e-4,7.7608821421314e-4
ABHD6,RFS,0.8907280611515361,0.42426457376158866,2.0088698909129312,0.7699081953389082,converged,0.8880327393278218,Fun-CIM,0.414,6.1235819700908e-4,0.00288966416446454
ABO,RFS,0.5310977154341693,0.18680738248339676,1.2992598324665534,0.1795979325837842,converged,0.39997674910764575,Fun-CIM,0.492,1.0769862578497e-4,7.6276532293146e-4
ACBD6,RFS,2.611280034716379,1.0794285562456147,6.704476132899109,0.03363204267969089,converged,0.13835848669061723,Dys-CIM,-0.614,4.46636593039547e-7,6.45592893575345e-5
ACSM5,RFS,1.1387361765705868,0.5269844508348827,2.937195102232341,0.7658502688905158,converged,0.8869904949144674,Fun-CIM,0.373,7.9562268301911e-4,0.00352146401949428
ACTA2,RFS,2.0127961522295656,1.0194338636929499,3.836688594666569,0.04437759026223809,converged,0.1618798304886074,Fun-CIM,0.388,0.00263731693394541,0.00864030739746149
ACTG1,RFS,7.337789386018213,2.2801048875192382,51.347812808833766,2.3036646642438097e-4,converged,0.018450619437219297,Dys-CIM,-0.539,3.44932662732206e-5,9.5182251034145e-4
ACY1,RFS,2.7768138756172474,1.2901893131371827,6.371703158036222,0.009625177556170206,converged,0.06560041205096075,Dys-CIM,-0.499,4.80735154078531e-7,6.64668604334665e-5
